,audience_name,size
158,對沖基金,1785490
159,聯合國人口基金,1746710
160,電子前哨基金會,1546790
161,國家科學基金會,1514520
162,卡達基金會,683630
163,慈濟基金會,517850
164,種子基金,487190
165,惠康基金會,252810
166,福特基金會,236280
167,柯林頓基金會,231260
168,國際雪豹基金會,217930
169,糖尿病攜手基金會,184580
170,指數基金,184300
171,麥克阿瑟基金會,151190
172,卡內基國際和平基金會,107340
0,南亞,501020110
1,網際協議通話技術,88675020
2,教育技術學,57172610
3,生物技術,30466170
4,自動化技術,26312890
5,奈米技術,26248350
6,技術劇場,24887670
7,新興技術,21209130
8,工作流技術,8260080
9,技術員,5990190
10,污染物排放控制技術,5446570
11,技術分析,4774730
12,緊急醫療技術員,4642610
13,技術型高級中等學校,4532610
14,食品技術,2469760
15,生物識別技術,1917610
16,首席技術官,1868780
17,牙體技術師,1590170
18,速霸陸技術國際,1490850
19,低可偵測性技術,1191300
20,國家標準技術研究所,1105130
21,技術與繼續教育學院,1100570
22,先皇技術學院,590040
23,藍牙技術聯盟,509740
24,丹麥技術大學,413570
25,韓國科學技術院,180780
26,法國國立高等工程技術學校,110500
27,明斯特應用技術大學,74740
28,聯合技術公司,65880
29,衛生信息技術,61260
30,奧格斯堡應用技術大學,5670
31,價值,188997210
32,全價值營養,5178520
33,價值投資,1883860
34,NBA最有價值球員,947450
35,客戶生命周期價值,403860
36,國家橄欖球聯盟最有價值球員,183120
37,美國職棒大聯盟最有價值球員獎,130930
38,價值,27256850
39,籌碼,4298080
40,上海市,225636190
41,上海3D方塊,1246510
42,上海迪士尼樂園,907190
43,香港上海大酒店,179000
44,香港上海滙豐銀行,88130
45,上海證券交易所,84700
46,上海大師賽,56630
47,上海灘 (品牌),32910
0,中華電信,718620
1,中華電信行動學園,175630
2,星巴克,155007060
3,廣達電腦,82900
4,貸款,162915250
5,學生貸款,4817990
6,小額貸款,3578310
7,次級貸款,438420
8,房屋凈值貸款,356580
9,公司,450082500
10,產品（公司）,948543120
11,蘋果公司,457536730
12,全國廣播公司,361710080
13,私人公司,294367890
14,華特迪士尼公司,279566080
15,唱片公司,257606100
16,福斯廣播公司,234717240
17,英國廣播公司,177413800
18,Uber（公司）,143429190
19,福特汽車公司,141780880
20,耐吉公司,133741321
21,上市公司,122226690
22,環球電視公司,121312680
23,有限公司,92501460
24,百貨公司,84141770
25,Box公司,82200720
26,映像漫畫公司,79935100
27,百事公司,79436100
28,鈴木公司,78637590
29,新創公司,75268880
30,Converse（鞋業公司）,60367480
31,英國廣播公司國際頻道,56082880
32,ABS-CBN公司,56029080
33,山葉機車公司,51741350
34,3M公司,50131600
35,Target 公司,47569220
36,英國廣播公司第一台,46842650
37,雅詩蘭黛公司,45521460
38,製片公司,40971240
39,強生公司,35495540
40,山葉 (公司),34673600
41,金百利克拉克公司,31484670
42,Orange (公司),30005160
43,蒂芙尼公司,26846860
44,馬魯蒂鈴木公司,26392800
45,低成本航空公司,21612340
46,BMW M公司,20391970
47,公司法,20353370
48,波克夏·哈薩威公司,20284180
49,雅什－拉吉影片公司,20271940
50,英國廣播公司商業分支,19681730
51,英國廣播公司第二台,19576360
52,加拿大廣播公司,14781940
53,美國誠實公司,14278037
54,廣播音樂公司,13750770
55,CBS公司,12394490
56,歐米茄錶公司,12227560
57,英國廣播公司第三台,11026600
58,SAP公司,10529670
59,西門子公司,10326390
60,先鋒公司,9759330
61,甲骨文公司,9748340
62,美国劳氏公司,9600550
63,班傑利公司,9394110
64,合資公司,9313740
65,漢高公司,9157920
66,芬達樂器公司,8972400
67,華納兄弟動畫公司,8624950
68,夢工廠動畫公司,8476940
69,英國廣播公司世界新聞頻道,8357110
70,公司集團,6878640
71,透納廣播公司,6860180
72,哥倫比亞電影公司,6276060
73,吉普森吉他公司,6268570
74,華納兄弟唱片公司,5993700
75,諾華公司,5985200
76,蔡司公司,5797310
77,百代電影公司,5762450
78,淡水河谷公司,5492230
79,丹尼斯公司,5323620
80,太空探索科技公司,5013650
81,沙烏地阿拉伯國家石油公司,4928880
82,公司治理,4922120
83,桂格燕麥公司,4776410
84,挪威廣播公司,4710760
85,西夫韋公司,4605450
86,Bloomingdale's 百貨公司,4286800
87,時代公司,4234480
88,哈德遜灣公司,4073750
89,哈迪斯 (公司),3881990
90,怪獸電力公司,3757240
91,墨西哥石油公司,3661730
92,瑞德數位電影攝影機公司,3419920
93,伊士曼柯達公司,3407710
94,紅帽公司,3249640
95,英國廣播公司美國台,3009450
96,美國哥倫比亞運動服裝公司,2976010
97,NCR公司,2790040
98,Square公司,2755280
99,巴基斯坦廣播公司,2660690
100,巴黎老佛爺百貨公司,2453410
101,英國廣播公司第四台,2358410
102,舒爾公司,2248020
103,LOMO公司,2234740
104,公司,195527630
105,信用卡,466616250
106,信用卡提現,1232720
107,債券,8312970
108,財富,206097230
109,財富美國500強,9119640
110,財富管理,8330890
111,財富世界500強,3299860
112,財富,7252680
113,美國國家稅務局,12469450
0,家人,1115651370
1,家人和感情狀況,1400008420
2,富爸爸窮爸爸,5850330
3,媽媽與爸爸合唱團,655740
4,了不起的狐狸爸爸,199510
5,躁爸爸狂媽媽,166670
6,保險,320912270
7,人壽保險,59038430
8,機動車輛保險,51132560
9,醫療保險,44637360
10,旅遊平安保險,16825300
11,保險合同,8192780
12,保險杠,7830110
13,美國社會安全保險,7791200
14,友邦保險,2631410
15,責任保險,2533060
16,寵物保險,2424270
17,相互保險公司,1175670
18,Medibank私人保險,636530
19,健康保險便利和責任法案,609560
20,財產保險,589310
21,退休保險,539310
22,長期照顧保險,97340
23,儲蓄,7673490
24,儲蓄互助社,15778530
25,俄羅斯聯邦儲蓄銀行,1647950
26,奧克蘭儲蓄銀行,492500
27,免稅儲蓄賬戶,178080
28,世界遺產,93774480
29,文化遺產,14194010
30,非物質文化遺產,1513210
31,遺產稅,896530
32,英格蘭遺產委員會,840750
33,自然遺產,124110
34,光明與黑暗續戰篇 眾神的遺產,3700
35,遺囑,5443040
36,健保真要命,567380
37,醫院,245917330
38,麻省總醫院,6422280
39,教學醫院,3865130
40,約翰·霍普金斯醫院,1625740
41,布萊根婦女醫院,240300
42,診所,138519100
43,馬約診所,4611880
44,克利夫蘭診所,2069800
45,米蘭時尚診所,255040
46,聖宜診所 SaintEir Clinic,177350
47,美之約醫美診所,38280
48,法泊時尚診所,34630
49,醫師,280277680
50,美國醫師執照考試,8928830
51,麻醉科醫師,1357450
52,美國醫師執照考試第一階段,633250
53,肯醫師煩事多,230560
54,彭醫師整型相談室,127210
55,許添盛醫師,34400
56,實習醫生,25125940
57,普通科醫生,23999800
58,德瑞醫生,15692280
59,無國界醫生,9386010
60,實習醫生成長記,2235570
61,外科醫生馬丁,1263320
62,異鄉人醫生,947460
63,安眠醫生,686700
64,醫生樂隊,91680
65,手術室,4111100
66,理學檢查,13066010
67,飛機維修檢查,244390
68,註冊舞弊檢查師,50520
69,註冊舞弊檢查師協會,42190
70,健身和保健,1116189370
71,健康保健,307806870
72,國民保健署,7888520
73,耳鼻喉科學,26549290
74,美國疾病控制與預防中心,21645970
75,遺傳性疾病,3745760
76,退行性疾病,2413310
77,自體免疫性疾病,2411820
78,精神疾病診斷與統計手冊,1379120
79,貓的疾病,687710
80,美國罕見疾病組織,59020
81,治療,324217910
82,物理治療,97942270
83,操作治療學,26407930
84,治療樂隊,15862360
85,職能治療,5893740
86,音樂治療,3720500
87,光照治療,3330720
88,藝術治療,2636230
89,行為治療,805280
90,個人中心治療,632440
91,職能治療師,423550
92,遊戲治療,303650
0,醫療保險,44637360
1,緊急醫療服務,29581620
2,聯邦醫療保險,16297480
3,緊急醫療技術員,4642610
4,患者保護與平價醫療法案,2686730
5,醫療衛生科學,2491270
6,GE醫療,921180
7,遠距醫療,772430
8,美國醫療系統,494040
9,醫療事故,298020
10,費森尤斯醫療,280480
11,美國醫療改革,9850
12,眼科學,22781850
13,內科學,17190340
14,倫敦皇家內科醫學院,359260
15,神經外科,8805800
16,外科醫生馬丁,1263320
17,愛爾蘭皇家外科醫學院,235220
18,胃腸學,5548070
19,免疫,11799650
20,免疫系統,41256380
21,免疫學,2746000
22,自體免疫性疾病,2411820
23,免疫缺陷,1601950
24,肝臟,67917620
25,雷射,150606030
26,雷射印表機,2618260
27,雷射二極體,2472550
28,雷射焊,115590
29,關節,67409390
30,關節炎,43410680
31,類風濕性關節炎,13126140
32,醫診情緣（電視影集）,1296190
33,口腔,97524930
34,牙科醫學,181172110
35,東京醫科牙科大學,21000
36,腫瘤學,31944170
37,糖尿病,111331340
38,2型糖尿病,14859230
39,適合糖尿病患者的飲食,1873560
40,美國糖尿病協會,1349670
41,聯合國糖尿病日,902570
42,糖尿病攜手基金會,184580
43,神經,18546050
44,神經科學,106041840
45,神經系統,40215790
46,神經內科,30971510
47,神經心理學,20817120
48,神經元,11277490
49,神經外科,8805800
50,神經語言規劃,6838050
51,中樞神經系統,6098220
52,人工神經網路,2544060
53,三叉神經,1829400
54,顏面神經,1283080
55,周圍神經系統,1148080
56,自主神經系統,761770
57,神經肌肉接點,450100
58,神經語言學,421470
59,神經生理學,156480
60,心臟,220270150
61,心臟病學,21743640
62,注射製模,1130820
63,物理學,327090480
64,物理治療,97942270
65,天體物理學,10231310
66,粒子物理學,7208120
67,諾貝爾物理學獎,6728130
68,物理化學,6464680
69,物理學家,6445090
70,地球物理學,3410110
71,理論物理學,3004360
72,物理定律,2407950
73,天文與天體物理學報,1766960
74,低溫物理學,1541780
75,原子核物理學,567340
76,生物物理學,478370
77,應用物理學,213930
78,數學物理,101210
0,咳嗽,19590740
1,牙結石清除術,1064330
2,泌尿外科,9265190
3,胸腔醫學,1900760
4,美國胸腔學會,52750
5,牙齒,100392610
6,人類牙齒,5269750
7,大腸,23948400
8,失眠 (小說),25060
9,慢性阻塞性肺病,7412240
10,皮膚,471122520
11,皮膚病學,64370960
12,表皮 (皮膚),1690
13,胃酸,3663240
0,無痛失戀,2461140
1,視力,2618880
2,視網膜,9006260
3,視網膜黃斑,379870
4,腎臟科,2258570
5,精神科醫師,6445270
6,過敏,74896870
7,過敏原,9456130
8,食物過敏,2778870
9,血管,27151140
10,血管學,698690
11,冠狀血管,402230
12,關節炎,43410680
13,類風濕性關節炎,13126140
14,腎臟科,2258570
15,世界骨質疏鬆日,7570
16,診斷,56179600
17,影像診斷學,11160370
18,車上診斷系統,3764990
19,精神疾病診斷與統計手冊,1379120
20,診斷,33788490
21,重建人類社會,2140
22,摩托車越野障礙賽,43293620
23,障礙跑,14349770
24,斯巴達障礙賽,10332954
25,障礙超越,8094308
26,ICD-10 第五章：精神和行為障礙,5144590
27,無障礙環境,3356430
28,書寫障礙,67420
29,左旋甲狀腺素鈉,694920
30,類風濕性關節炎,13126140
31,食道,4027420
32,脊椎,50060680
33,運動,1566160200
34,運動和戶外活動,1589096970
35,團隊運動,225818610
36,運動鞋（鞋）,161367280
37,運動類遊戲,115341140
38,運動服裝（機能運動衫）,114242480
39,教練（運動）,75776370
40,社會運動,51324180
41,運動員,50455800
42,新紀元運動,46163050
43,青年奧林匹克運動會,38399100
44,世界極限運動會,37090360
45,運動鞋收集,36319928
46,五旬節運動,30419850
47,極限運動,27114380
48,登山運動,24743290
49,夏季奧林匹克運動會,21820450
50,有氧運動,20776320
51,2016年夏季奧林匹克運動會,18460210
