,audience_name,size
129,新藝術運動,4202170
130,運動生理學,4188430
131,特殊奧林匹克運動會,4049990
132,LGBT權利運動,3816272
133,2020年夏季奧林匹克運動會,3505630
134,國民運動,3144520
135,美國哥倫比亞運動服裝公司,2976010
136,飛行運動,2794440
137,奧克蘭運動家,2785720
138,大眾汽車運動,2569720
139,帆船運動,2000320
140,職業運動聯盟,1832240
141,東南亞運動會,1812960
142,熱帶主義運動,1802620
143,瑞特運動巧克力,1436770
144,蓋爾運動協會,1430810
145,世界馬術運動會,1402200
146,學生運動,1358020
147,2010年冬季奧林匹克運動會,1259530
148,尤比克爭取更好的匈牙利運動,1100240
149,夏季奧林匹克運動會馬術比賽,1088660
150,Wii運動 度假勝地,1071260
151,飛鼠裝滑翔運動,1042160
152,ETtoday運動雲,1035470
153,1964年夏季奧林匹克運動會,885620
154,運動心理學,828110
155,運動,35918980
156,真空低溫烹調法,1149440
157,居家裝潢,213406710
158,居家照護,11457930
159,居家就業,9139410
160,居家男人角色列表,82310
161,H&D居家生活館,59260
162,過敏,74896870
163,過敏原,9456130
164,食物過敏,2778870
0,補貼,9662970
1,內政部,3533340
2,英國內政部,1840440
3,青年,157287640
4,巴蘭基亞青年體育俱樂部,79809540
5,青年奧林匹克運動會,38399100
6,文藝青年,23572390
7,青年旅舍,10667020
8,阿根廷青年,6254920
9,世界青年拉力錦標賽,2621960
10,青年小說,2567560
11,青年民主主義者聯盟－匈牙利公民聯盟,2311300
12,青年漫畫,1519010
13,青年藝術家獎,1396090
14,青年成就,1365020
15,國際青年商會,1202190
16,基督教女青年會,568050
17,青年會,447510
18,青年文化,353730
19,2018年夏季青年奧林匹克運動會,297440
20,國際青年旅舍聯盟,146330
21,王宏哲教養、育兒寶典,1432820
22,媽媽寶寶-懷孕、生產、育兒,359720
23,純情房東俏房客,32970
24,社會,525853920
25,社會網路,1165893280
26,政治與社會議題,1112578960
27,社會科學,264565600
28,社會群體,215004360
29,生活方式（社會學）,189532610
30,社會學,180653720
31,社會階級,123676280
32,社會心理學,91311650
33,社會關係,77142730
34,社會地位,66409690
35,社會運動,51324180
36,西班牙工人社會黨,44242920
37,社會工作,29927250
38,社會哲學,28741010
39,丹麥社會自由黨,26560270
40,公民社會,26187340
41,社會正義,16529080
42,社會民主主義,15951510
43,社會變遷,12341250
44,德國社會民主黨,11463520
45,巴西社會黨,10107790
46,社會企業,9404470
47,聯合國經濟及社會理事會,8662060
48,社會黨國際,8594670
49,美國社會安全保險,7791200
50,社會排斥,6665610
51,社會民主黨 (丹麥),5879610
52,社會統計調查,5739730
53,企業社會責任,5184710
54,社會營銷,3956090
55,瑞士社會民主黨,3868760
56,歐洲社會黨,3121760
57,社會不平等,3030310
58,開放社會基金會,2621480
59,奧地利社會民主黨,1492400
60,拜仁基督教社會聯盟,1399100
61,社會工作專業碩士,1287390
62,瑞典社會民主工人黨,1027880
63,SocREC 社會記錄頻道,1013940
64,社會保障基金,1001380
65,社會責任,707590
66,社會研究,610600
67,社會政策,538820
68,烏克蘭社會民主黨,500590
69,不同社會黨,449410
70,社會市場經濟,433530
71,社會進步,376990
72,社會主義工人黨 (英國),224820
73,社會主義人民黨,196860
74,社會工程學,156750
75,住房抵押貸款,135110930
76,美國住房及城市發展部,1962880
77,住房權,1669740
78,房地產,353161710
79,房地產投資,31533658
80,房地產經濟學,650120
81,房地產泡沫,471190
82,房地產自有率,84840
